sim,method,psi1_mean,psi1_var,psi2_mean,psi2_var
5,gfal,0.9458748772488259,1.2356484899804886e-4,-0.4405469613573584,2.600399261619219e-4
5,qfal,0.9447971179285212,2.2121314858711375e-4,-0.5037345693706945,8.769531798898449e-4
5,super,1.0062573389878802,1.1517738480960742e-4,-0.5144609549754527,3.540627197347873e-4
5,true,0.9460078558766415,1.2397556969477038e-4,-0.5056612493423329,2.5272468290798555e-4
6,bfal,0.8835428689086299,2.5240126992847955e-4,-0.5031362699207872,0.0010329241113592532
6,gfal,0.9427898161866285,1.277418469695636e-4,-0.5064788707300072,2.5144027598216986e-4
6,qfal,0.9428346313112138,2.2280848917276933e-4,-0.5738765005687848,8.312505390518518e-4
6,super,1.0126317847447224,1.2119312685921944e-4,-0.5603135109606975,2.2210317590474525e-4
6,true,0.9425817887038936,1.2832635998867467e-4,-0.5676408302364199,2.493854779679509e-4
7,bfal,0.8582115605605457,2.471639808446809e-4,-0.45661297896989095,0.0010690072950977317
7,gfal,0.9166280070050338,1.23429063264949e-4,-0.4579785622341551,2.5245193669565507e-4
7,qfal,0.9185445186372501,2.1667005993874288e-4,-0.5333097158072998,8.570991396235512e-4
7,super,0.9576495077622,1.1709068221894773e-4,-0.5058488588961146,2.204738386212651e-4
7,true,0.9170421384080698,1.2387538945123639e-4,-0.5224417314082324,2.4879151763107065e-4
8,bfal,0.8673883105373302,2.612015408744968e-4,-0.3774595410145697,0.0011011828830549155
8,gfal,0.9326433461009686,1.254359763972571e-4,-0.42583764377626104,2.580059329893734e-4
8,qfal,0.9333621426503256,2.2584076203667193e-4,-0.48623615832061856,8.707858921702252e-4
8,super,0.987720978364685,1.1927923396444489e-4,-0.46085979074989003,2.3877988835028065e-4
8,true,0.9325697541024687,1.2571247123842048e-4,-0.48873946693832104,2.512784610192903e-4
9,bfal,0.8676627497084551,2.4915755934276114e-4,-0.4069228297581541,0.0010803993239240275
9,gfal,0.9226509059948118,1.2487423233611213e-4,-0.4271246494489942,2.6082631376462574e-4
9,qfal,0.9229953700907042,2.2170857587476718e-4,-0.48549160166573585,8.610129812845773e-4
9,super,0.9509703510734971,1.1900303770443683e-4,-0.481213323620017,2.2931785200213937e-4
9,true,0.9226167648050727,1.2527811013774036e-4,-0.489095758534387,2.542519941040097e-4
10,bfal,0.8403382835822065,2.536115768170853e-4,-0.42370495055581064,0.0010851354478998133
10,gfal,0.9066485024914709,1.2445791201912346e-4,-0.44339508542258527,2.4241472518370832e-4
10,qfal,0.90883588236766355,2.2039400681537038e-4,-0.520715418097577,8.604291646767093e-4
10,super,0.9118883744995964,1.198430410439492e-4,-0.5461830596663217,2.1982105202985984e-4
10,true,0.9064633298895639,1.2493460549241366e-4,-0.5085689417258451,2.3942183111120947e-4
11,bfal,0.8457028034230112,2.455278705689162e-4,-0.45361555698003075,0.001045193190536646
11,gfal,0.9061967356347418,1.2592472402908725e-4,-0.47150374099496345,2.5817132580705784e-4
11,qfal,0.9062429378911263,2.172312746869285e-4,-0.5326380907616488,8.377236805379836e-4
11,super,0.927999888935984,1.1947301283155059e-4,-0.5501570852193668,2.3002350908213765e-4
11,true,0.9062079824627131,1.2625919031379514e-4,-0.530548330948806,0.00025444645895785633
12,bfal,0.8746613508526028,2.442852562236935e-4,-0.44345462298518523,0.0010598787701640291
12,gfal,0.9362330934357215,1.2343217536358206e-4,-0.4407985736551432,2.554400532622685e-4
